Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin,Medicago,Sanofi/GSK,SKYCovione,Valneva
Argentina,ARG,2020-12-29,0,0,1,0,20491,0,1,0,0,0,0,0,0,0
Argentina,ARG,2020-12-30,0,0,1,0,40592,0,1,0,0,0,0,0,0,0
Argentina,ARG,2020-12-31,0,0,1,0,43398,0,1,0,0,0,0,0,0,0
Argentina,ARG,2021-01-01,0,0,3,0,43525,0,1,0,0,0,0,0,0,0
Argentina,ARG,2021-01-02,1,0,4,0,46835,0,1,0,0,0,0,0,0,0
Argentina,ARG,2021-01-03,3,0,4,0,47279,0,1,0,0,0,0,0,0,0
Argentina,ARG,2021-01-04,3,0,4,0,57742,0,1,0,0,0,0,0,0,0
Argentina,ARG,2021-01-05,3,0,4,0,68469,0,5,0,0,0,0,0,0,0
Argentina,ARG,2021-01-06,6,0,5,0,78582,0,8,0,0,0,0,0,0,0
Argentina,ARG,2021-01-07,8,0,9,0,96807,0,10,0,0,0,0,0,0,0
Argentina,ARG,2021-01-08,8,0,10,0,124700,0,10,0,0,0,0,0,0,0
Argentina,ARG,2021-01-09,9,0,11,0,134907,0,11,0,0,0,0,0,0,0
Argentina,ARG,2021-01-10,12,0,11,0,136082,0,12,0,0,0,0,0,0,0
Argentina,ARG,2021-01-11,12,0,12,0,155910,0,14,0,0,0,0,0,0,0
Argentina,ARG,2021-01-12,13,0,14,0,175300,0,17,0,0,0,0,0,0,0
Argentina,ARG,2021-01-13,13,1,15,0,192072,0,21,0,0,0,0,0,0,0
Argentina,ARG,2021-01-14,14,1,15,0,208721,0,22,0,0,0,0,0,0,0
Argentina,ARG,2021-01-15,14,1,15,0,226168,0,22,0,0,0,0,0,0,0
Argentina,ARG,2021-01-16,14,1,15,0,232053,0,22,0,0,0,0,0,0,0
Argentina,ARG,2021-01-17,15,1,15,0,233115,0,22,0,0,0,0,0,0,0
Argentina,ARG,2021-01-18,16,1,15,0,242946,0,22,0,0,0,0,0,0,0
Argentina,ARG,2021-01-19,16,1,15,0,256200,0,24,1,0,0,0,0,0,0
Argentina,ARG,2021-01-20,16,1,15,0,275633,0,24,1,0,0,0,0,0,0
Argentina,ARG,2021-01-21,16,1,20,0,289745,0,26,1,0,0,0,0,0,0
Argentina,ARG,2021-01-22,16,1,23,0,298963,0,27,1,0,0,0,0,0,0
Argentina,ARG,2021-01-23,16,1,28,0,302907,0,27,1,0,0,0,0,0,0
Argentina,ARG,2021-01-24,16,1,29,0,303210,0,27,1,0,0,0,0,0,0
Argentina,ARG,2021-01-25,16,1,37,0,317422,0,27,1,0,0,0,0,0,0
Argentina,ARG,2021-01-26,16,1,75,0,330198,0,28,1,0,0,0,0,0,0
Argentina,ARG,2021-01-27,16,1,77,0,340311,0,28,1,0,0,0,0,0,0
Argentina,ARG,2021-01-28,16,1,78,0,356360,0,28,1,0,0,0,0,0,0
Argentina,ARG,2021-01-29,16,1,79,0,379864,0,28,1,0,0,0,0,0,0
Argentina,ARG,2021-01-30,16,1,79,0,389179,0,28,1,0,0,0,0,0,0
Argentina,ARG,2021-01-31,16,1,79,0,389802,0,29,2,0,0,0,0,0,0
Argentina,ARG,2021-02-01,16,1,98,0,409318,0,30,2,0,0,0,0,0,0
Argentina,ARG,2021-02-02,16,1,131,0,433169,0,30,2,0,0,0,0,0,0
Argentina,ARG,2021-02-03,16,1,139,0,459783,0,33,2,0,0,0,0,0,0
Argentina,ARG,2021-02-04,16,2,144,0,487896,0,56,2,0,0,0,0,0,0
Argentina,ARG,2021-02-05,16,2,149,0,520930,0,63,4,0,0,0,0,0,0
Argentina,ARG,2021-02-06,16,2,149,0,531857,0,68,4,0,0,0,0,0,0
Argentina,ARG,2021-02-07,16,2,150,0,533237,0,72,4,0,0,0,0,0,0
Argentina,ARG,2021-02-08,16,2,152,0,556670,0,73,4,0,0,0,0,0,0
Argentina,ARG,2021-02-09,16,3,154,0,576866,0,79,4,0,0,0,0,0,0
Argentina,ARG,2021-02-10,16,3,157,0,592486,0,84,4,0,0,0,0,0,0
Argentina,ARG,2021-02-11,16,3,160,0,610338,0,90,4,0,0,0,0,0,0
Argentina,ARG,2021-02-12,16,3,161,0,626180,0,91,4,0,0,0,0,0,0
Argentina,ARG,2021-02-13,16,3,163,0,629212,0,93,4,0,0,0,0,0,0
Argentina,ARG,2021-02-14,16,3,163,0,629363,0,95,4,0,0,0,0,0,0
Argentina,ARG,2021-02-15,17,3,163,0,630678,0,97,4,0,0,0,0,0,0
Argentina,ARG,2021-02-16,18,3,175,0,631976,0,99,4,0,0,0,0,0,0
Argentina,ARG,2021-02-17,18,3,186,0,656378,0,102,4,0,0,0,0,0,0
Argentina,ARG,2021-02-18,19,3,217,0,720190,0,106,4,0,0,0,0,0,0
Argentina,ARG,2021-02-19,19,3,407,0,787909,0,107,4,0,0,0,0,0,0
Argentina,ARG,2021-02-20,19,3,555,0,820384,0,108,4,0,0,0,0,0,0
Argentina,ARG,2021-02-21,19,3,956,0,840165,0,108,4,0,0,0,0,0,0
Argentina,ARG,2021-02-22,19,3,23564,0,885151,0,108,4,0,0,0,0,0,0
Argentina,ARG,2021-02-23,19,3,73774,0,921919,0,110,4,0,0,0,0,0,0
Argentina,ARG,2021-02-24,19,3,135872,0,953682,0,113,4,0,0,0,0,0,0
Argentina,ARG,2021-02-25,19,3,189046,0,980000,0,117,4,0,0,0,0,0,0
